ID,Category,Priority for now,Data checklist questions,Answer,Explanation
1a-1,Metadata management,1. essential,Do the metadata include a description of the dataset?,yes,
1a-2,Metadata management,3. desirable,Do the metadata include a dataset creation date?,yes,
1a-3,Metadata management,1. essential,Do the metadata include a dataset update date?,yes,
1a-4,Metadata management,3. desirable,Do the metadata include a link to related publications?,yes,
1a-5,Metadata management,3. desirable,Do the metadata include a link to related data products?,yes,
1a-6,Metadata management,2. valuable,Are all metadata provided in a machine-readable format?,yes,
1a-7,Metadata management,2. valuable,Are all metadata provided in a human-readable format?,yes,
1a-8,Metadata management,3. desirable,Are the terms used in the metadata compliant with relevant metadata standards or ontologies?,yes,
1a-9,Metadata management,3. desirable,Do the metadata include a citation that is compliant with JDDCP (Joint Declaration of Data Citation Principles)?,yes,https://www.force11.org/datacitationprinciples 
1a-10,Metadata management,2. valuable,Do the metadata include a description of the methods used for data collection?,yes,
1a-11,Metadata management,3. desirable,"Do the metadata include a description of the experimental set-up, if applicable?",yes,
1a-12,Metadata management,2. valuable,"Is this dataset part of a data collection and, if so, is this described in the metadata?",yes,https://www.oasis-open.org/committees/soa-rm/faq.php
1a-13,Metadata management,2. valuable,"Is there a data dictionary that describes the contents, format, and structure the data collection, and the relationship between tables if applicable?",yes,
1a-14,Metadata management,2. valuable,"Do the metadata include all concepts, definitions and descriptions of all of the variables?",yes,
1a-15,Metadata management,2. valuable,"Do the metadata include descriptions of methods, procedures and quality assurance/quality control (QA/QC) practices followed during production of the data?",yes,
1a-16,Metadata management,1. essential,"Are the metadata accurate, complete, up to date, and free of contradictions?",yes,
1a-17,Metadata management,1. essential,Does the documentation match the data files received?,yes,
1a-18,Metadata management,3. desirable,"Do the metadata contain keywords selected from a controlled vocabulary, and is the controlled vocabulary properly cited?",yes,
1a-19,Metadata management,2. valuable,"Do the metadata distinguish between types of research data such as primary (original), derived, dynamic, raw or aggregated data, etc?",yes,
1a-20,Metadata management,2. valuable,Are the metadata registered or indexed in a searchable resource?,yes,
1a-21,Metadata management,2. valuable,Are the metadata assigned a globally unique and eternally persistent identifier?,yes,
1b-1,Provenance,2. valuable,Is the name of the principal investigator included in the metadata record?,yes,
1b-2,Provenance,1. essential,Is the provenance of the data fully and accurately documented in the metadata?,yes,
1b-3,Provenance,1. essential,"If applicable, is the data integration process fully and accurately documented in the metadata?",yes,
1b-4,Provenance,1. essential,Is your name and contact information included in the metadata record?,yes,
1b-5,Provenance,1. essential,"If the dataset comes from model output, do the metadata include a description of the model that was used?",yes,
1c-1,Multilingualism,2. valuable,"Are all elements available in English? (i.e. filename, metadata, associated resources, exposed elements in Web services).",yes,
1c-2,Multilingualism,3. desirable,"Are all elements available in an official language other than English? (i.e. filename, metadata, associated resources, exposed elements in Web services).",yes,
1c-3,Multilingualism,2. valuable,"In the case where multilingual column names are a requirement, are separate rows used for column names in the different languages? (e.g., French in row 1, Spanish in row 2, Cree in row 3, English in row 4?",yes,
1c-4,Multilingualism,2. valuable,"In the case of multilingualism, do the metadata include translations of all the column names into the relevant languages? (e.g., French, Spanish, Cree, English)",yes,
1c-5,Multilingualism,3. desirable,"In the case of multilingualism and datasets containing text fields in English, do the metadata include translation(s) of all the possible text entries for each variable?",yes,
1d-1,Accessibility,2. valuable,Are the data downloadable?,yes,
1d-2,Accessibility,2. valuable,Are the data available for bulk download?,yes,
